timestamp,symbol,ltp,open,high,low,close,volume
2026-07-05T09:00:00.000Z,SBIN,1041.00,1041.00,1045.00,1035.00,1040.00,5000
2026-07-05T09:00:01.000Z,SBIN,1041.05,1041.00,1045.00,1035.00,1040.00,2000
2026-07-05T09:00:02.000Z,SBIN,1042.20,1041.00,1045.00,1035.00,1040.00,1000
2026-07-05T09:00:03.000Z,SBIN,1042.25,1041.00,1045.00,1035.00,1040.00,3000
2026-07-05T09:00:04.000Z,SBIN,1041.00,1041.00,1045.00,1035.00,1040.00,5000
2026-07-05T09:00:05.000Z,SBIN,1041.05,1041.00,1045.00,1035.00,1040.00,2000
2026-07-05T09:00:06.000Z,SBIN,1042.20,1041.00,1045.00,1035.00,1040.00,1000
2026-07-05T09:00:07.000Z,SBIN,1042.25,1041.00,1045.00,1035.00,1040.00,3000
2026-07-05T09:00:08.000Z,SBIN,1041.00,1041.00,1045.00,1035.00,1040.00,5000
2026-07-05T09:00:09.000Z,SBIN,1040.95,1041.00,1045.00,1035.00,1040.00,2000
2026-07-05T09:00:10.000Z,SBIN,1038.60,1041.00,1045.00,1035.00,1040.00,1000
2026-07-05T09:00:11.000Z,SBIN,1038.55,1041.00,1045.00,1035.00,1040.00,3000
2026-07-05T09:00:12.000Z,SBIN,1041.00,1041.00,1045.00,1035.00,1040.00,5000
2026-07-05T09:00:13.000Z,SBIN,1041.05,1041.00,1045.00,1035.00,1040.00,2000
2026-07-05T09:00:14.000Z,SBIN,1042.20,1041.00,1045.00,1035.00,1040.00,1000
2026-07-05T09:00:15.000Z,SBIN,1042.25,1041.00,1045.00,1035.00,1040.00,3000
2026-07-05T09:00:16.000Z,SBIN,1041.00,1041.00,1045.00,1035.00,1040.00,5000
2026-07-05T09:00:17.000Z,SBIN,1041.05,1041.00,1045.00,1035.00,1040.00,2000
2026-07-05T09:00:18.000Z,SBIN,1042.20,1041.00,1045.00,1035.00,1040.00,1000
2026-07-05T09:00:19.000Z,SBIN,1042.25,1041.00,1045.00,1035.00,1040.00,3000
2026-07-05T09:00:20.000Z,SBIN,1041.00,1041.00,1045.00,1035.00,1040.00,5000
2026-07-05T09:00:21.000Z,SBIN,1041.05,1041.00,1045.00,1035.00,1040.00,2000
2026-07-05T09:00:22.000Z,SBIN,1042.20,1041.00,1045.00,1035.00,1040.00,1000
2026-07-05T09:00:23.000Z,SBIN,1042.25,1041.00,1045.00,1035.00,1040.00,3000
2026-07-05T09:00:24.000Z,SBIN,1041.00,1041.00,1045.00,1035.00,1040.00,5000
2026-07-05T09:00:25.000Z,SBIN,1040.95,1041.00,1045.00,1035.00,1040.00,2000
2026-07-05T09:00:26.000Z,SBIN,1038.60,1041.00,1045.00,1035.00,1040.00,1000
2026-07-05T09:00:27.000Z,SBIN,1038.55,1041.00,1045.00,1035.00,1040.00,3000
2026-07-05T09:00:28.000Z,SBIN,1041.00,1041.00,1045.00,1035.00,1040.00,5000
2026-07-05T09:00:29.000Z,SBIN,1041.05,1041.00,1045.00,1035.00,1040.00,2000
2026-07-05T09:00:30.000Z,SBIN,1042.20,1041.00,1045.00,1035.00,1040.00,1000
2026-07-05T09:00:31.000Z,SBIN,1042.25,1041.00,1045.00,1035.00,1040.00,3000
2026-07-05T09:00:32.000Z,SBIN,1041.00,1041.00,1045.00,1035.00,1040.00,5000
2026-07-05T09:00:33.000Z,SBIN,1041.05,1041.00,1045.00,1035.00,1040.00,2000
2026-07-05T09:00:34.000Z,SBIN,1042.20,1041.00,1045.00,1035.00,1040.00,1000
2026-07-05T09:00:35.000Z,SBIN,1042.25,1041.00,1045.00,1035.00,1040.00,3000
2026-07-05T09:00:36.000Z,SBIN,1041.00,1041.00,1045.00,1035.00,1040.00,5000
2026-07-05T09:00:37.000Z,SBIN,1040.95,1041.00,1045.00,1035.00,1040.00,2000
2026-07-05T09:00:38.000Z,SBIN,1038.60,1041.00,1045.00,1035.00,1040.00,1000
2026-07-05T09:00:39.000Z,SBIN,1038.55,1041.00,1045.00,1035.00,1040.00,3000
