timestamp,symbol,ltp,open,high,low,close,volume
2026-07-06T09:15:00.000Z,SBIN,1040.00,1040.0,1045.0,1040.0,1040.0,2000
2026-07-06T09:20:00.000Z,SBIN,1045.00,1040.0,1045.0,1040.0,1040.0,2000
2026-07-06T09:30:00.000Z,SBIN,1043.00,1040.0,1045.0,1040.0,1040.0,2000
2026-07-06T09:31:00.000Z,SBIN,1044.00,1040.0,1045.0,1040.0,1040.0,1000
2026-07-06T09:40:00.000Z,SBIN,1046.00,1040.0,1045.0,1040.0,1040.0,5000
2026-07-06T09:45:00.000Z,SBIN,1050.00,1040.0,1045.0,1040.0,1040.0,2000
2026-07-06T10:00:00.000Z,SBIN,1056.00,1040.0,1045.0,1040.0,1040.0,1000
2026-07-07T09:15:00.000Z,SBIN,1042.00,1042.0,1044.0,1042.0,1043.0,1000
2026-07-07T09:25:00.000Z,SBIN,1044.00,1042.0,1044.0,1042.0,1043.0,1000
2026-07-07T09:30:00.000Z,SBIN,1043.00,1042.0,1044.0,1042.0,1043.0,1000
2026-07-07T09:35:00.000Z,SBIN,1045.00,1042.0,1044.0,1042.0,1043.0,4000
2026-07-07T09:45:00.000Z,SBIN,1044.00,1042.0,1044.0,1042.0,1043.0,1000
2026-07-07T10:15:00.000Z,SBIN,1041.50,1042.0,1044.0,1042.0,1043.0,2000
2026-07-08T09:15:00.000Z,SBIN,1038.00,1038.0,1040.0,1038.0,1039.0,1000
2026-07-08T09:25:00.000Z,SBIN,1040.00,1038.0,1040.0,1038.0,1039.0,1000
2026-07-08T09:30:00.000Z,SBIN,1039.00,1038.0,1040.0,1038.0,1039.0,1000
2026-07-08T09:35:00.000Z,SBIN,1041.00,1038.0,1040.0,1038.0,1039.0,4000
2026-07-08T12:00:00.000Z,SBIN,1043.00,1038.0,1040.0,1038.0,1039.0,1000
2026-07-08T15:10:00.000Z,SBIN,1043.50,1038.0,1040.0,1038.0,1039.0,1000
