timestamp,symbol,ltp,open,high,low,close,volume
2026-07-05T09:00:00.000Z,INFY,1620.5,1620.0,1625.0,1618.2,1619.8,12000
2026-07-05T09:00:01.000Z,INFY,1621.2,1620.0,1625.0,1618.2,1619.8,500
2026-07-05T09:00:02.000Z,AAPL,180.25,180.0,181.5,179.8,180.1,45000
2026-07-05T09:00:03.000Z,INFY,1620.8,1620.0,1625.0,1618.2,1619.8,1500
2026-07-05T09:00:04.000Z,AAPL,180.5,180.0,181.5,179.8,180.1,8000
2026-07-05T09:00:05.500Z,TSLA,220.1,219.5,222.0,218.4,219.0,30000
2026-07-05T09:00:06.000Z,INFY,1622.0,1620.0,1625.0,1618.2,1619.8,2500
2026-07-05T09:00:07.000Z,AAPL,180.4,180.0,181.5,179.8,180.1,3000
2026-07-05T09:00:08.000Z,TSLA,219.8,219.5,222.0,218.4,219.0,5000
2026-07-05T09:00:09.200Z,INFY,1621.7,1620.0,1625.0,1618.2,1619.8,800
2026-07-05T09:00:10.000Z,AAPL,180.8,180.0,181.5,179.8,180.1,12000
2026-07-05T09:00:11.000Z,TSLA,220.5,219.5,222.0,218.4,219.0,15000
2026-07-05T09:00:12.500Z,INFY,1622.5,1620.0,1625.0,1618.2,1619.8,4000
2026-07-05T09:00:13.000Z,AAPL,180.7,180.0,181.5,179.8,180.1,2000
2026-07-05T09:00:14.000Z,TSLA,221.0,219.5,222.0,218.4,219.0,18000
2026-07-05T09:00:15.000Z,AAPL,181.1,180.0,181.5,179.8,180.1,7000
2026-07-05T09:00:16.100Z,TSLA,220.6,219.5,222.0,218.4,219.0,9000
2026-07-05T09:00:17.000Z,INFY,1622.1,1620.0,1625.0,1618.2,1619.8,3200
2026-07-05T09:00:18.000Z,AAPL,181.3,180.0,181.5,179.8,180.1,11000
2026-07-05T09:00:19.000Z,TSLA,221.4,219.5,222.0,218.4,219.0,22000
2026-07-05T09:00:20.000Z,INFY,1623.0,1620.0,1625.0,1618.2,1619.8,6000
